module,skill,display-name,menu-code,description,action,args,phase,preceded-by,followed-by,required,output-location,outputs
SpecLite SDLC,speclite-code-review-02-evaluator,Code Review Evaluate,CR2,Evaluate numbered code review findings and produce a structured evaluation document.,,,4-implementation,speclite-code-review-01-reviewer,speclite-code-review-03-fixer,false,{implementation_artifacts}/code-reviews,code review evaluation
SpecLite SDLC,speclite-code-review-03-fixer,Code Review Fix,CR3,Apply approved fixes from a code review evaluation and record the repair summary.,,,4-implementation,speclite-code-review-02-evaluator,speclite-code-review-01-reviewer,false,{implementation_artifacts}/code-reviews,fix summary
SpecLite SDLC,speclite-code-review-04-rules-extractor,Code Review Rules,CR4,Extract reusable development rules from historical code review records.,,,4-implementation,speclite-code-review-02-evaluator,,false,{implementation_artifacts}/cr-rules,review rules
SpecLite SDLC,speclite-code-review-05-todo-tracker,Code Review TODO,CR5,Maintain cross-story CR todo backlog from deferred review findings.,,,4-implementation,speclite-code-review-02-evaluator,,false,{implementation_artifacts}/cr-rules,cr todo backlog
SpecLite SDLC,speclite-code-review-06-finalizer,Code Review Finalize,CR6,Finalize approved Story code review by syncing story and workflow status.,,,4-implementation,speclite-code-review-02-evaluator,speclite-create-story,false,{implementation_artifacts},updated status files
SpecLite SDLC,speclite-checkpoint-preview,Checkpoint,CK,Guided walkthrough of a change from purpose and context into details. Use for human review of commits branches or PRs.,,,4-implementation,,,false,,
SpecLite SDLC,speclite-qa-generate-e2e-tests,QA Automation Test,QA,Generate automated API and E2E tests for implemented code. NOT for code review or story validation - start with CR1 for that.,,,4-implementation,speclite-dev-story,,false,{implementation_artifacts},test suite
SpecLite SDLC,speclite-qa-write-test-guide,QA Test Guide,TG,Create execution-ready QA test guides from specs implementation notes code facts or prior discussion.,,,4-implementation,speclite-dev-story,,false,{implementation_artifacts},qa test guide
SpecLite SDLC,speclite-retrospective,Retrospective,ER,Optional at epic end: Review completed work lessons learned and next epic or if major issues consider CC.,,,4-implementation,speclite-code-review-06-finalizer,,false,{implementation_artifacts},retrospective
SpecLite SDLC,speclite-npm-publisher,NPM Publisher,NP,Publish open-source Node.js packages to npm with evidence-backed release gates and post-publish verification.,,,5-devops,speclite-code-review-06-finalizer,,false,{devops_artifacts}/npm-releases,npm release report
